size=50, dropout=0.0, ,topk:20, lr=1e-05, batch-size=6, epochs=100, attributed=True, supervised=False
0	-0.4449633 -0.33656162 -0.279373 -0.40195698 0.3409168 0.6887883 0.0609499 0.07565418 0.79329574 0.089339875 -0.13200393 0.60867494 0.10527847 -0.21344157 -0.20768322 0.18786271 0.71098286 0.6272791 -0.6933243 -0.0038263737 0.10512574 -0.62017125 0.048379358 -0.18607531 -0.19847128 0.06366495 -0.28302687 -0.6320951 0.289019 0.18833883 0.23920909 -0.23722437 -0.098379634 0.215898 1.0351866 -0.20216165 -0.64782625 0.021580786 -0.5259151 0.75874496 -0.32593927 -0.53077745 -0.8426876 -0.0112337675 0.16562447 -0.73084813 0.6396012 -0.6034205 -0.21666256 0.18440455 0.3010095 0.35042042 -0.44851306 0.2065548 -0.28074992 0.48278585 -0.22758384 -0.6320201 0.07775257 -0.44498175 0.4069699 0.46613115 -0.6053793 -0.55985284 -0.18747973 -0.43650296 0.6065557 -0.34412608 0.046298303 0.2866946 -0.30017734 0.39665082 0.30819258 -0.5976154 -0.41483888 0.4763169 0.42730308 0.73728865 -1.2258357 0.1653482 0.03431359 -0.21116596 0.14848006 0.40212432 -0.18385147 -0.07038519 -0.044690512 -0.14256987 -0.569951 -0.3599078 0.9475313 -0.60028505 -0.32817182 0.17938484 -0.06732853 -0.83500844 0.23843661 0.09784778 0.47189274 -0.057160065
1	-0.34683797 -0.2592948 -0.44109386 -0.44201562 0.18069164 0.6108539 0.025992835 -0.02431124 0.75151217 -0.03661514 -0.14288448 0.42701575 0.21199946 -0.03269779 -0.159712 0.06901236 0.48832956 0.47335106 -0.47212955 -0.21785265 0.2926124 -0.4009164 -0.029306483 0.15404585 -0.11718693 -0.059269585 -0.06482823 -0.736547 0.21242388 0.4134397 0.23696564 -0.100804366 -0.17639183 -0.07548 0.894685 -0.043362033 -0.38020918 -0.08531059 -0.43263227 0.6975326 -0.42693073 -0.4505877 -0.560954 -0.08933579 0.10288479 -0.72742635 0.3146942 -0.33847618 -0.17426637 0.10769914 0.39963445 0.13037078 -0.16535074 0.085115425 -0.029936105 0.32572085 -0.2670864 -0.3371857 0.078944996 -0.3125809 0.2507844 0.22491269 -0.5932807 -0.4909764 -0.2611438 -0.29028386 0.3750518 -0.05566781 -0.083985895 0.23637544 -0.40929478 0.16889785 0.11114505 -0.57233816 -0.20102866 0.36496222 0.3610891 0.56927943 -0.915109 0.07211524 0.17842454 -0.20402095 0.1770208 0.5866396 0.08759126 -0.08345874 0.035650082 -0.26713488 -0.24662115 -0.24669081 0.9635665 -0.6751685 -0.48324183 0.30360928 0.0809378 -0.85790175 0.4556022 -0.19846211 0.5116498 -0.024959994
2	-0.4193174 -0.1473785 -0.47372094 -0.76103663 0.05720155 0.5856613 0.075398125 -0.2205797 0.3810147 -0.0134765655 -0.39721847 0.54530805 -0.17647228 0.27380133 -0.25080463 0.04618483 0.261534 -0.097370416 -0.5034083 -0.7399026 0.4424241 -0.2857346 -0.07131799 -0.106722 -0.22837009 0.031931866 -0.037052475 -0.0935713 -0.11937225 0.6629235 -0.3779599 -0.5980181 -0.69186246 -0.31147775 -0.25337604 0.56540394 -0.4788621 0.44826266 -0.64546025 0.73721623 -0.25969437 -0.12813774 0.35763723 -0.62416446 0.071654074 0.16573854 0.3034181 0.27609852 0.28206724 -0.2940022 0.45410186 -0.6085399 -0.8298018 0.2646604 0.1945303 -0.20568417 -0.47477794 0.11527223 0.735172 -0.10674178 0.39440963 -0.15000916 -0.5215402 -0.45474944 -0.3028426 0.0024301736 -0.3086947 -0.03340142 0.4465467 0.47335917 -0.33468518 0.46888217 -0.027304351 -0.6884153 0.23964861 -0.4708203 0.38146505 0.47232473 -0.44535917 -0.3196582 -0.2518695 0.014906174 0.28724644 0.5447585 -0.20193757 0.1278285 -0.09848483 -0.47711524 0.69803303 -0.21908331 0.2146044 -0.8699147 -0.66200304 0.58301145 0.6030596 -0.0023809369 0.38759094 0.06263669 0.65076965 0.057439737
3	-0.5139979 -0.37124157 -0.48421136 -0.73116684 -0.14397305 0.7334528 -0.071635395 -0.22677635 0.1824134 0.011655575 -0.07836285 0.3655762 -0.072687306 0.4577479 -0.22624564 -0.055351585 0.10244182 0.23379149 -0.4264916 -0.62445617 0.42641824 -0.16184434 -0.050030712 0.008725212 -0.28401735 0.3831176 -0.034523785 -0.27512246 0.088491745 0.6124481 0.003849326 -0.42021906 -0.6339789 -0.23220065 -0.12937044 0.27032113 -0.21669993 0.30146295 -0.6700863 0.6680501 -0.6444813 -0.36404774 -0.14530778 -0.417153 0.30407655 -0.1374481 0.06869346 0.06673556 0.18687144 -0.2247309 0.6071999 -0.29200897 -0.72415733 0.6144113 0.23798166 0.33239174 -0.2259396 0.15455867 0.58630675 -0.032087952 0.58347195 -0.003111139 -0.38636136 -0.45673597 -0.5020109 -0.07774687 -0.3941993 0.1548856 0.6031094 0.24178025 -0.69982046 0.14801979 0.13483495 -0.7295072 -0.04164121 -0.15847124 0.4290394 0.52614886 -0.31979984 -0.21812588 -0.031918734 0.08229543 0.20670466 0.425242 0.30838373 0.44922403 -0.16048074 -0.38464165 0.29827014 0.114531115 0.31657955 -0.44094104 -0.7358922 0.2730387 0.20980595 -0.2635735 0.20978545 -0.22144124 0.448121 -0.18774472
4	-0.4417617 -0.11368428 -0.37174663 -0.31962472 0.23755711 0.46634117 0.39041728 0.054048806 0.16231617 0.20896475 -0.004676191 0.6068162 -0.3972333 0.107453376 0.106482215 0.014448212 0.11562189 0.44188923 -0.37142995 -0.034180176 0.32610035 -0.62918764 0.1535214 0.11466193 -0.4670308 0.05694779 -0.5291498 -0.19460604 -0.031115461 0.3052178 0.096430585 -0.38734224 0.054820426 0.08213961 -0.09714497 0.22644633 -0.12504005 0.08683156 -0.6069511 0.43549436 0.02175865 -0.24167924 -0.19665393 -0.0073879776 0.4011546 -0.1216186 0.43954378 -0.13280831 -0.26587766 -0.11589559 0.71419287 -0.015330402 -0.6608151 0.47815236 -0.4365643 -0.13984683 -0.5819795 0.113567196 -0.0912096 -0.13458656 0.3600729 -0.0023370925 -0.36446005 -0.082471445 -0.30872002 -0.35751155 0.40094528 -0.12899944 0.02442351 0.2104561 -0.48956287 0.45511833 -0.0011624161 -0.06130566 -0.27107513 -0.16869032 0.17861846 0.4493708 -0.31890497 -0.22950819 0.0024830531 -0.105540626 0.27060756 0.3467902 -0.3843483 -0.039152388 0.13910747 -0.33412224 0.30474028 -0.1653576 0.13973151 -0.60781866 -0.6998802 0.7659593 -0.047582015 -0.1720324 0.15575619 0.002284281 -0.09642257 0.38544148
5	-0.16057742 -0.11036034 -0.28775236 -0.6888682 0.13613945 0.68066144 -0.1301967 -0.006720324 0.5883459 -0.2373799 -0.11889131 0.6056414 -0.014300369 0.14032736 -0.48134866 -0.015524358 0.39497972 -0.024993416 -0.51669455 -0.8138228 0.28765506 -0.28193367 -0.23125184 0.07855032 -0.038972862 -0.07274626 0.37924314 -0.24545029 -0.0016936678 0.4206103 -0.31074446 -0.6469057 -0.42533493 -0.045736693 0.24101529 0.31177643 -0.2215096 0.15258776 -0.43989828 0.87222505 -0.25330815 -0.22483274 0.21130666 -0.4155487 0.06553516 -0.28660098 0.34030396 -0.46996975 -0.1600832 -0.054489635 0.38710448 -0.059208326 -0.7776815 0.103733465 0.19933376 -0.04125416 -0.56578153 -0.16874686 0.57628137 -0.11358676 0.2970153 0.069059424 -0.34430715 -0.3848132 -0.28615886 -0.19234926 -0.21136113 -0.14141051 -0.004399347 0.18301405 -0.31289655 0.35132208 0.26946202 -0.4220947 0.052508097 -0.2945951 0.51742333 0.28876525 -0.5002473 0.0038791206 -0.1331994 -0.04205636 0.20585756 0.36712414 -0.37468892 0.27918372 0.085371904 -0.48701805 0.12711352 -0.028800163 0.40847594 -0.6627817 -0.5403552 0.5844525 0.71584666 -0.13811545 0.45882928 0.008831596 0.4181061 0.13087355
6	0.12507151 0.118315876 -0.35072854 -0.121986784 0.32823712 0.29846957 0.13765657 0.05182997 0.4249197 0.13047923 -0.23941897 0.22441837 -0.22987626 -0.24977572 -0.084134564 0.21415362 0.31997448 0.50284207 -0.046166185 0.2905459 0.31849018 -0.65794975 0.119871795 0.49092463 -0.2755103 -0.017009843 -0.14366585 -0.6791711 0.06030484 0.20331399 0.37133446 -0.048644822 0.36980084 0.24138959 0.47179875 -0.14497013 0.006703371 -0.12327459 -0.1053896 0.23609346 0.1352225 -0.23915854 -0.48162663 0.18421581 0.06108694 -0.41002724 0.18864474 -0.2714909 -0.7243702 -0.04065642 0.80296546 0.49435976 0.10731574 0.10668674 -0.26079625 -0.044824105 -0.5212868 -0.09154645 -0.38575965 -0.46114108 -0.0072870012 -0.12284366 -0.009483786 -0.08698072 -0.2908546 -0.37214458 0.4823909 -0.009654639 -0.4173522 0.13331003 -0.4589285 0.16047956 0.05130545 -0.17401022 0.21997817 0.21985815 0.0037496553 0.23282817 -0.5038908 0.18187572 0.3043319 -0.26657748 -0.04526334 0.8491259 -0.085412234 -0.3539173 0.2836938 -0.46931794 -0.28031626 -0.33009622 0.61447996 -0.38615265 -0.46684584 0.69219995 -0.13604094 -0.81882536 0.21277858 -0.2661615 -0.30412352 0.37570995
7	-0.43967748 -0.38698503 -0.34728742 -0.44409433 -0.0710982 0.45585132 -0.2803355 0.1651769 0.34716263 0.11084967 -0.15776911 0.6538133 -0.031182643 0.53041065 -0.17756242 -0.15439665 0.06872862 -0.20179947 -0.7600698 -0.6258236 -0.07678807 -0.02551001 -0.057448506 -0.40307146 -0.28440765 0.22294596 -0.30517498 0.17921877 0.15542951 0.70360416 -0.22054766 -0.48387003 -0.636828 -0.0046428787 -0.6020454 0.316413 -0.5262186 0.53467596 -0.35577 0.6315037 -0.07211336 -0.052657053 -0.16757314 -0.45757732 0.067040674 0.19523431 0.55034274 0.22214422 0.5944048 -0.19265497 -0.028387822 -0.65577453 -0.74567753 0.3619674 0.07597696 -0.0079784505 -0.09193133 0.14431259 0.37114617 0.35255998 0.57841617 0.06605381 -0.5693799 -0.5107789 -0.23265737 -0.13953257 -0.1950927 -0.12782228 0.4961495 0.5057166 -0.07902869 0.3592603 -0.037229963 -0.66282225 -0.56291676 -0.2232603 0.47787455 0.5694632 -0.24938355 -0.49300048 -0.47719592 0.10648473 0.018542865 0.09378221 -0.054985423 0.35192376 -0.3264033 -0.09186919 0.33733776 -0.3021426 0.07110473 -0.21173845 -0.10943689 0.1501508 -0.095025435 0.32658005 0.17708087 0.30751008 0.5731572 0.2812782
8	-0.011809268 0.12758991 -0.37932816 -0.08223505 -0.07530148 0.45401487 0.14451517 -0.06516163 0.30195263 0.04321888 -0.01919356 0.31207603 -0.2789749 -0.08836443 -0.096841194 0.083116874 0.1610752 0.3166538 -0.1792481 -0.18040533 0.30702308 -0.43121576 0.08117669 0.22821353 -0.12722808 -0.34937358 0.058315173 -0.47484583 0.09585953 0.34639663 0.12217293 -0.30513796 -0.10406041 -0.075791605 0.10624599 0.29115152 -0.16474153 -0.11789196 -0.31037074 0.48559552 -0.22666053 -0.36760017 -0.005471521 -0.04413988 0.20048754 -0.21506667 -0.026669241 -0.004828186 -0.35745358 0.12427429 0.5666996 -0.16943844 -0.15832224 0.1937556 -0.007561174 -0.15712835 -0.43965924 0.07967194 0.10463463 -0.17954306 0.19259658 -0.15388668 -0.27009425 -0.17702115 -0.09280929 -0.21772534 0.10303081 0.08095352 -0.29860392 0.13329813 -0.27575928 0.012220172 -0.044816285 -0.1640985 0.16777883 -0.24371132 0.094098814 0.16686824 -0.3172311 -0.1023045 0.32211933 -0.2704231 0.090126306 0.53929675 -0.092167765 0.011003827 0.31379676 -0.38468605 0.2801054 -0.06025335 0.35001516 -0.67320555 -0.4613162 0.700207 0.22518101 -0.46129632 0.4957735 -0.2476477 0.08862296 0.2303239
9	-0.03795897 0.18818878 -0.4548399 -0.17694265 -0.006470963 0.44947916 0.2593187 -0.1596063 0.14720458 0.12634258 0.029447626 0.4568739 -0.51405 -0.15401912 0.0880925 0.15028666 0.059567474 0.46260718 -0.0106638465 -0.049824916 0.510423 -0.60963887 0.24433094 0.45810035 -0.23359933 -0.21221502 -0.17715527 -0.5193464 -0.013804231 0.36658192 0.20610136 -0.32943624 0.046384975 -0.012686369 -0.05664596 0.25847858 -0.026669418 -0.27384743 -0.3611965 0.46801457 -0.15495981 -0.47130194 -0.031687986 0.11578971 0.3532406 -0.24665254 -0.022407211 0.03624644 -0.51970845 0.08294697 0.87561274 0.013786299 -0.25178835 0.37124947 -0.1918271 -0.33706063 -0.6054259 0.18323046 -0.011110436 -0.3231979 0.22738798 -0.14509732 -0.25316465 -0.019644419 -0.31580314 -0.2765503 0.1648749 0.14409545 -0.4370881 0.08721396 -0.4549951 0.12103016 -0.0071882764 -0.03608715 0.19328715 -0.3204469 -0.028076664 0.09504848 -0.2848902 -0.18810531 0.41028962 -0.38063055 0.17851047 0.55382663 -0.18761499 -0.073153734 0.36417767 -0.4945895 0.3938185 0.066465795 0.3544226 -0.79517174 -0.6655263 0.95652145 0.17765312 -0.44390014 0.42503098 -0.34977955 -0.14009482 0.26589197
